ID,Species_specific,Species,Sex,Eclosed,Released,Max_age,Last.sighted,Death,Notes
R39,Melpomene rosina,H_melpomene,F,2022-04-18,2022-04-18,58,2022-06-15,,
Ec8,Melpomene ecuadorensis,H_melpomene,F,2022-04-18,2022-04-18,,#N/A,,
Ec9,Melpomene ecuadorensis,H_melpomene,M,2022-04-18,2022-04-18,36,2022-05-24,,
Ple1,Melpomene plesseni,H_melpomene,M,2022-04-18,2022-04-18,15,2022-05-03,,impure (Ecuador pupa)
At9,Atthis,H_atthis,M,2022-04-18,2022-04-18,,#N/A,,
At10,Atthis,H_atthis,M,2022-04-18,2022-04-18,,#N/A,,
At11,Atthis,H_atthis,M,2022-04-18,2022-04-18,,#N/A,,
At12,Atthis,H_atthis,M,2022-04-18,2022-04-18,31,2022-05-19,,
E5,Erato demophoon,H_erato,F,2022-03-13,2022-04-18,,#N/A,,originally in PF longevity cage
E12,Erato demophoon,H_erato,F,2022-03-28,2022-04-18,52,2022-05-19,,originally in PF longevity cage
E22,Erato demophoon,H_erato,M,2022-04-11,2022-04-18,79,2022-06-29,,originally in PF longevity cage
E23,Erato demophoon,H_erato,M,2022-04-11,2022-04-18,85,2022-07-05,,originally in PF longevity cage
E24,Erato demophoon,H_erato,M,2022-04-11,2022-04-18,81,2022-07-01,,originally in PF longevity cage
E25,Erato demophoon,H_erato,M,2022-04-11,2022-04-18,58,2022-06-08,,originally in PF longevity cage
E13,Erato demophoon,H_erato,F,2022-03-29,2022-04-18,,#N/A,,originally in PF longevity cage
E6,Erato demophoon,H_erato,F,2022-03-17,2022-04-18,,#N/A,,originally in PF longevity cage
E7,Erato demophoon,H_erato,M,2022-03-18,2022-04-18,,#N/A,,originally in PF longevity cage
E14,Erato demophoon,H_erato,M,2022-04-01,2022-04-18,55,2022-05-26,,originally in PF longevity cage
E15,Erato demophoon,H_erato,M,2022-04-02,2022-04-18,67,2022-06-08,,originally in PF longevity cage
E16,Erato demophoon,H_erato,M,2022-04-02,2022-04-18,25,2022-04-27,,originally in PF longevity cage
E18,Erato demophoon,H_erato,M,2022-04-06,2022-04-18,,#N/A,,originally in PF longevity cage
E11,Erato demophoon,H_erato,M,2022-03-25,2022-04-18,60,2022-05-24,,originally in PF longevity cage
E17,Erato demophoon,H_erato,F,2022-04-07,2022-04-18,53,2022-05-30,,originally in PF longevity cage
Pac5,Pachinus,H_pachinus,M,2022-04-19,2022-04-19,,#N/A,,
Pac6,Pachinus,H_pachinus,M,2022-04-19,2022-04-19,,#N/A,,weird wing
Nu1,Numata,H_numata,M,2022-04-19,2022-04-19,,#N/A,,
Nu2,Numata,H_numata,M,2022-04-19,2022-04-19,29,2022-05-18,,
At13,Atthis,H_atthis,F,2022-04-19,2022-04-19,3,2022-04-22,,
At14,Atthis,H_atthis,F,2022-04-19,2022-04-19,14,2022-05-03,,
Zu4,Hecale zuleika,H_hecale,M,2022-04-19,2022-04-19,15,2022-05-04,,
MHy1,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,8,2022-04-27,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy2,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,17,2022-05-06,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy3,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy4,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,28,2022-05-17,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy5,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy6,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy7,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,50,2022-06-08,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy8,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,17,2022-05-06,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy9,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy10,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,15,2022-05-04,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy11,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy12,Melpomene hybrid,H_melpomene,M,2022-04-19,2022-04-19,57,2022-06-15,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy13,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy14,Melpomene hybrid,H_melpomene,F,2022-04-19,2022-04-19,16,2022-05-05,,"Hybrid - plesseni + ecuadorensis, labelled with H"
At19,Atthis,H_atthis,M,2022-04-21,2022-04-21,7,2022-04-28,,
At20,Atthis,H_atthis,M,2022-04-21,2022-04-21,53,2022-06-13,,
At21,Atthis,H_atthis,M,2022-04-21,2022-04-21,34,2022-05-25,,
MHy29,Melpomene hybrid,H_melpomene,M,2022-04-21,2022-04-21,33,2022-05-24,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy30,Melpomene hybrid,H_melpomene,F,2022-04-21,2022-04-21,26,2022-05-17,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy31,Melpomene hybrid,H_melpomene,F,2022-04-21,2022-04-21,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
Dd1,Dryadula,D_phaetusa,F,2022-04-20,2022-04-20,,#N/A,,
Dd2,Dryadula,D_phaetusa,F,2022-04-20,2022-04-20,6,2022-04-26,,
MHy15,Melpomene hybrid,H_melpomene,M,2022-04-20,2022-04-20,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy16,Melpomene hybrid,H_melpomene,M,2022-04-20,2022-04-20,8,2022-04-28,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy17,Melpomene hybrid,H_melpomene,F,2022-04-20,2022-04-20,54,2022-06-13,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy18,Melpomene hybrid,H_melpomene,F,2022-04-20,2022-04-20,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy19,Melpomene hybrid,H_melpomene,F,2022-04-20,2022-04-20,28,2022-05-18,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy20,Melpomene hybrid,H_melpomene,M,2022-04-20,2022-04-20,14,2022-05-04,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy21,Melpomene hybrid,H_melpomene,M,2022-04-20,2022-04-20,8,2022-04-28,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy22,Melpomene hybrid,H_melpomene,F,2022-04-20,2022-04-20,41,2022-05-31,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy23,Melpomene hybrid,H_melpomene,M,2022-04-20,2022-04-20,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy24,Melpomene hybrid,H_melpomene,M,2022-04-20,2022-04-20,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy25,Melpomene hybrid,H_melpomene,F,2022-04-20,2022-04-20,,#N/A,,"white eyes (albinism?) - Hybrid - plesseni + ecuadorensis, labelled with H"
MHy26,Melpomene hybrid,H_melpomene,F,2022-04-20,2022-04-20,,#N/A,,"Hybrid - plesseni + ecuadorensis, labelled with H"
MHy27,Melpomene hybrid,H_melpomene,F,2022-04-20,2022-04-20,,#N/A,,"white eyes (albinism?) - Hybrid - plesseni + ecuadorensis, labelled with H"
At15,Atthis,H_atthis,M,2022-04-20,2022-04-20,1,2022-04-21,,
At16,Atthis,H_atthis,M,2022-04-20,2022-04-20,2,2022-04-22,,
At17,Atthis,H_atthis,M,2022-04-20,2022-04-20,19,2022-05-09,,
At18,Atthis,H_atthis,F,2022-04-20,2022-04-20,40,2022-05-30,,
Nu3,Numata,H_numata,M,2022-04-20,2022-04-20,106,2022-08-04,,
R36,Melpomene rosina,H_melpomene,F,2022-04-20,2022-04-20,35,2022-05-25,,
Nu4,Numata,H_numata,M,2022-04-22,2022-04-22,,#N/A,,
Eu25,Eueides isabella,E_isabella,M,2022-04-22,2022-04-22,,#N/A,,
MHy32,Melpomene hybrid,H_melpomene,M,2022-04-22,2022-04-22,,#N/A,,
MHy33,Melpomene hybrid,H_melpomene,M,2022-04-22,2022-04-22,,#N/A,,
Sap28,Sapho sapho,H_sapho,M,2022-04-22,2022-04-22,,#N/A,,
Sap29,Sapho sapho,H_sapho,F,2022-04-22,2022-04-22,,#N/A,,
Ec7,Melpomene ecuadorensis,H_melpomene,M,2022-04-22,2022-04-22,0,2022-04-22,,
Zu5,Hecale zuleika,H_hecale,M,2022-04-22,2022-04-22,26,2022-05-18,,
Eu26,Eueides isabella,E_isabella,F,2022-04-24,2022-04-25,1,2022-04-25,,
E26,Erato demophoon,H_erato,F,2022-04-24,2022-04-25,1,2022-04-25,,
Hyd1,Erato hydara,H_erato,M,2022-04-25,2022-04-25,,#N/A,,
E27,Erato demophoon,H_erato,F,2022-04-26,2022-04-26,8,2022-05-04,,
E28,Erato demophoon,H_erato,F,2022-04-25,2022-04-26,44,2022-06-08,,
E29,Erato demophoon,H_erato,F,2022-04-27,2022-04-27,58,2022-06-24,,
E30,Erato demophoon,H_erato,M,2022-04-27,2022-04-27,1,2022-04-28,,
Cyd5,Cydno chioneus,H_cydno,M,2022-04-27,2022-04-27,,#N/A,,
E31,Erato demophoon,H_erato,M,2022-04-27,2022-04-28,8,2022-05-05,,
E32,Erato demophoon,H_erato,F,2022-04-28,2022-04-28,,#N/A,,
E33,Erato demophoon,H_erato,M,2022-04-28,2022-04-28,86,2022-07-23,,
Dd3,Dryadula,D_phaetusa,F,2022-04-29,2022-04-29,10,2022-05-09,,
R37,Melpomene rosina,H_melpomene,M,2022-05-01,2022-05-01,67,2022-07-07,,
R40,Melpomene rosina,H_melpomene,M,2022-05-02,2022-05-02,72,2022-07-13,,
R41,Melpomene rosina,H_melpomene,M,2022-05-02,2022-05-02,50,2022-06-21,,
R42,Melpomene rosina,H_melpomene,M,2022-05-02,2022-05-02,,#N/A,,
R43,Melpomene rosina,H_melpomene,M,2022-05-02,2022-05-02,46,2022-06-17,,
Cyd6,Cydno chioneus,H_cydno,M,2022-05-02,2022-05-02,,#N/A,,
R45,Melpomene rosina,H_melpomene,M,2022-05-03,2022-05-03,36,2022-06-08,,
R46,Melpomene rosina,H_melpomene,F,2022-05-03,2022-05-03,36,2022-06-08,,
Dd4,Dryadula,D_phaetusa,M,2022-05-03,2022-05-03,,#N/A,,
Zu6,Hecale zuleika,H_hecale,M,2022-05-03,2022-05-03,36,2022-06-08,,
Ec10,Melpomene ecuadorensis,H_melpomene,M,2022-05-04,2022-05-04,45,2022-06-18,,
Ec11,Melpomene ecuadorensis,H_melpomene,M,2022-05-04,2022-05-04,35,2022-06-08,,
Ec13,Melpomene ecuadorensis,H_melpomene,M,2022-05-05,2022-05-05,97,2022-08-10,,
R49,Melpomene rosina,H_melpomene,F,2022-05-05,2022-05-05,50,2022-06-24,,
R50,Melpomene rosina,H_melpomene,M,2022-05-06,2022-05-06,33,2022-06-08,,
R51,Melpomene rosina,H_melpomene,M,2022-05-06,2022-05-06,33,2022-06-08,,
R52,Melpomene rosina,H_melpomene,M,2022-05-06,2022-05-06,19,2022-05-25,,
Ec14,Melpomene ecuadorensis,H_melpomene,M,2022-05-06,2022-05-06,10,2022-05-16,,
Ec15,Melpomene ecuadorensis,H_melpomene,M,2022-05-06,2022-05-06,39,2022-06-14,,
Ec16,Melpomene ecuadorensis,H_melpomene,M,2022-05-06,2022-05-06,25,2022-05-31,,
Ec17,Melpomene ecuadorensis,H_melpomene,M,2022-05-06,2022-05-06,94,2022-08-08,,
Cyd7,Cydno chioneus,H_cydno,M,2022-05-06,2022-05-06,33,2022-06-08,,
Dd5,Dryadula,D_phaetusa,F,2022-05-09,2022-05-09,,#N/A,,crumpled wings
Zu7,Hecale zuleika,H_hecale,M,2022-05-09,2022-05-09,37,2022-06-15,,
Eu27,Eueides isabella,E_isabella,M,2022-05-09,2022-05-09,,#N/A,,
Cyd8,Cydno chioneus,H_cydno,M,2022-05-09,2022-05-09,,#N/A,,
R53,Melpomene rosina,H_melpomene,M,2022-05-09,2022-05-09,10,2022-05-19,,
R54,Melpomene rosina,H_melpomene,F,2022-05-09,2022-05-09,10,2022-05-19,,
R55,Melpomene rosina,H_melpomene,M,2022-05-10,2022-05-10,29,2022-06-08,,
R56,Melpomene rosina,H_melpomene,F,2022-05-10,2022-05-10,38,2022-06-17,,
Ch2,Charitonia,H_charitonia,M,2022-05-10,2022-05-10,,#N/A,,
Ec18,Melpomene ecuadorensis,H_melpomene,M,2022-05-10,2022-05-10,36,2022-06-15,,
Zu8,Hecale zuleika,H_hecale,M,2022-05-10,2022-05-10,,#N/A,,
Is1,Ismenius bouletti,H_ismenius,F,2022-05-11,2022-05-11,,#N/A,,
Zu9,Hecale zuleika,H_hecale,M,2022-05-11,2022-05-11,35,2022-06-15,,
Ec19,Melpomene ecuadorensis,H_melpomene,M,2022-05-12,2022-05-12,27,2022-06-08,,
Ec20,Melpomene ecuadorensis,H_melpomene,M,2022-05-13,2022-05-13,42,2022-06-24,,
R57,Melpomene rosina,H_melpomene,M,2022-05-13,2022-05-13,,#N/A,,
Is2,Ismenius bouletti,H_ismenius,M,2022-05-13,2022-05-13,6,2022-05-19,,
Hew4,Hewitsoni,H_hewitsoni,M,2022-05-13,2022-05-13,6,2022-05-19,,
Hew5,Hewitsoni,H_hewitsoni,F,2022-05-13,2022-05-13,13,2022-05-26,,
Hew6,Hewitsoni,H_hewitsoni,M,2022-05-13,2022-05-13,35,2022-06-17,,
Hew7,Hewitsoni,H_hewitsoni,F,2022-05-13,2022-05-13,,#N/A,,
Hew8,Hewitsoni,H_hewitsoni,F,2022-05-13,2022-05-13,,#N/A,,
Ec23,Melpomene ecuadorensis,H_melpomene,M,2022-05-14,2022-05-15,,#N/A,,
Ec24,Melpomene ecuadorensis,H_melpomene,M,2022-05-14,2022-05-15,,#N/A,,
Zu10,Hecale zuleika,H_hecale,M,2022-05-17,2022-05-17,14,2022-05-31,,
Hyd2,Erato hydara,H_erato,M,2022-05-17,2022-05-17,,#N/A,,
Ec25,Melpomene ecuadorensis,H_melpomene,M,2022-05-16,2022-05-16,23,2022-06-08,,
Ec26,Melpomene ecuadorensis,H_melpomene,M,2022-05-16,2022-05-16,2,2022-05-18,,
Ec27,Melpomene ecuadorensis,H_melpomene,M,2022-05-17,2022-05-17,29,2022-06-15,,
Dd6,Dryadula,D_phaetusa,F,2022-05-27,2022-05-27,,#N/A,,
Ch3,Charitonia,H_charitonia,M,2022-05-28,2022-05-28,,#N/A,,
Ec28,Melpomene ecuadorensis,H_melpomene,M,2022-05-29,2022-05-29,29,2022-06-27,,crumpled wings
E34,Erato demophoon,H_erato,M,2022-05-30,2022-05-30,70,2022-08-08,,
Ag1,Agraulis vanillae,A_vanillae,M,2022-06-03,2022-06-03,11,2022-06-14,,
Pac7,Pachinus,H_pachinus,M,2022-06-03,2022-06-03,26,2022-06-29,,
R58,Melpomene rosina,H_melpomene,M,2022-06-03,2022-06-03,21,2022-06-24,,
MHy34,Melpomene hybrid,H_melpomene,M,2022-06-03,2022-06-03,,#N/A,,
Nu5,Numata,H_numata,M,2022-06-04,2022-06-04,4,2022-06-08,,
Dd7,Dryadula,D_phaetusa,F,2022-06-04,2022-06-05,,#N/A,,
Dd8,Dryadula,D_phaetusa,M,2022-06-05,2022-06-05,3,2022-06-08,,
Dd9,Dryadula,D_phaetusa,F,2022-06-05,2022-06-05,3,#N/A,2022-06-08,
MHy35,Melpomene hybrid,H_melpomene,M,2022-06-07,2022-06-08,24,2022-07-01,,
Zu11,Hecale zuleika,H_hecale,M,2022-06-08,2022-06-08,19,2022-06-27,,
Sap30,Sapho sapho,H_sapho,M,2022-06-07,2022-06-08,2,2022-06-09,,
Sap31,Sapho sapho,H_sapho,F,2022-06-07,2022-06-08,,#N/A,,
Sap32,Sapho sapho,H_sapho,F,2022-06-07,2022-06-08,,#N/A,,
Sap33,Sapho sapho,H_sapho,M,2022-06-07,2022-06-08,,#N/A,,
Sap34,Sapho sapho,H_sapho,M,2022-06-07,2022-06-08,,#N/A,,
Sap35,Sapho sapho,H_sapho,M,2022-06-07,2022-06-08,1,2022-06-08,,
Sap36,Sapho sapho,H_sapho,M,2022-06-07,2022-06-08,,#N/A,,
Sap37,Sapho sapho,H_sapho,F,2022-06-07,2022-06-08,,#N/A,,
Sap38,Sapho sapho,H_sapho,M,2022-06-07,2022-06-08,,#N/A,,
Sap39,Sapho sapho,H_sapho,M,2022-06-08,2022-06-09,63,2022-08-10,,
Sap40,Sapho sapho,H_sapho,M,2022-06-08,2022-06-09,64,2022-08-11,,
Sap41,Sapho sapho,H_sapho,F,2022-06-08,2022-06-09,2,2022-08-02,2022-06-10,
Sap42,Sapho sapho,H_sapho,M,2022-06-08,2022-06-09,40,2022-07-18,,
Sap43,Sapho sapho,H_sapho,M,2022-06-08,2022-06-09,57,2022-08-04,,
Sap44,Sapho sapho,H_sapho,F,2022-06-08,2022-06-09,20,2022-06-28,,
H36,Hecale melicerta,H_hecale,M,2022-04-25,2022-06-09,45,2022-06-09,,"old HL36 (accidentally marked 2x HL36 - one remained in PD cage), escaped from PD cage 26/4, found in garden by Benita 9/6 and placed in big cage"
Pac8,Pachinus,H_pachinus,F,2022-06-09,2022-06-10,28,2022-07-07,,
Pac9,Pachinus,H_pachinus,M,2022-06-09,2022-06-10,,#N/A,,
Ag2,Agraulis vanillae,A_vanillae,F,2022-06-12,2022-06-12,,#N/A,,
Ag3,Agraulis vanillae,A_vanillae,M,2022-06-13,2022-06-13,,#N/A,,
Ag4,Agraulis vanillae,A_vanillae,F,2022-06-13,2022-06-13,,#N/A,,
Pac10,Pachinus,H_pachinus,M,2022-06-12,2022-06-13,16,2022-06-28,,
Pac11,Pachinus,H_pachinus,M,2022-06-12,2022-06-13,32,2022-07-14,,
Cyd9,Cydno chioneus,H_cydno,F,2022-06-12,2022-06-13,2,2022-06-14,,
Ec29,Melpomene ecuadorensis,H_melpomene,F,2022-06-12,2022-06-13,,#N/A,,
Ag5,Agraulis vanillae,A_vanillae,F,2022-06-14,2022-06-14,,#N/A,,
Do32,Doris,H_doris,F,2022-06-14,2022-06-14,,#N/A,,
Pac12,Pachinus,H_pachinus,F,2022-06-13,2022-06-14,11,2022-06-24,,
Nu6,Numata,H_numata,F,2022-06-13,2022-06-14,42,2022-07-25,,
Nu7,Numata,H_numata,M,2022-06-13,2022-06-14,23,2022-07-06,,
Nu8,Numata,H_numata,M,2022-06-13,2022-06-14,8,2022-06-21,,
Nu9,Numata,H_numata,F,2022-06-13,2022-06-14,56,2022-08-08,,
Nu10,Numata,H_numata,M,2022-06-13,2022-06-14,,#N/A,,
Nu11,Numata,H_numata,M,2022-06-13,2022-06-14,,#N/A,,
Nu12,Numata,H_numata,M,2022-06-13,2022-06-14,50,2022-08-02,,
Nu13,Numata,H_numata,F,2022-06-13,2022-06-14,50,2022-08-02,,
Nu14,Numata,H_numata,F,2022-06-13,2022-06-14,2,2022-06-15,,
Nu15,Numata,H_numata,F,2022-06-13,2022-06-14,52,2022-08-04,,
Nu16,Numata,H_numata,M,2022-06-14,2022-06-16,,#N/A,,
Nu17,Numata,H_numata,F,2022-06-15,2022-06-16,33,2022-07-18,,
Nu18,Numata,H_numata,F,2022-06-15,2022-06-16,48,2022-08-02,,
Nu19,Numata,H_numata,F,2022-06-15,2022-06-16,,#N/A,,
Nu20,Numata,H_numata,M,2022-06-15,2022-06-16,26,2022-07-11,,
Nu21,Numata,H_numata,M,2022-06-15,2022-06-16,6,2022-06-21,,
Nu22,Numata,H_numata,M,2022-06-15,2022-06-16,43,2022-07-28,,
Nu23,Numata,H_numata,M,2022-06-15,2022-06-16,12,2022-06-27,,
Nu24,Numata,H_numata,F,2022-06-15,2022-06-16,,#N/A,,
Pac13,Pachinus,H_pachinus,F,2022-06-15,2022-06-16,5,2022-06-20,,
Ag6,Agraulis vanillae,A_vanillae,M,2022-06-16,2022-06-16,,#N/A,,
MHy37,Melpomene hybrid,H_melpomene,M,2022-06-16,2022-06-16,21,2022-07-07,,
Ag7,Agraulis vanillae,A_vanillae,F,2022-06-17,2022-06-17,7,2022-06-24,,
Ag8,Agraulis vanillae,A_vanillae,M,2022-06-17,2022-06-17,,#N/A,,
Ag9,Agraulis vanillae,A_vanillae,F,2022-06-17,2022-06-17,10,2022-06-27,,
Ag10,Agraulis vanillae,A_vanillae,M,2022-06-17,2022-06-17,,#N/A,,
Pac14,Pachinus,H_pachinus,M,2022-06-16,2022-06-17,5,2022-06-21,,
Cyd10,Cydno chioneus,H_cydno,M,2022-06-16,2022-06-17,,#N/A,,
Ag11,Agraulis vanillae,A_vanillae,F,2022-06-18,2022-06-18,,#N/A,,weird wing
Nu25,Numata,H_numata,M,2022-06-18,2022-06-19,3,2022-06-21,,"accidentally labelled 2x Nu25, birth date changed to youngest"
MHy38,Melpomene hybrid,H_melpomene,M,2022-06-18,2022-06-18,6,2022-06-24,,
Nu26,Numata,H_numata,M,2022-06-19,2022-06-20,33,2022-07-22,,
Nu27,Numata,H_numata,M,2022-06-19,2022-06-20,,#N/A,,
Nu28,Numata,H_numata,F,2022-06-19,2022-06-20,10,2022-06-29,,
Nu29,Numata,H_numata,M,2022-06-19,2022-06-20,5,2022-06-24,,
D161,Dryas,D_iulia,F,2022-06-05,2022-06-21,,#N/A,,cognitive
Pac15,Pachinus,H_pachinus,M,2022-06-21,2022-06-22,20,2022-07-11,,
Pac16,Pachinus,H_pachinus,F,2022-06-21,2022-06-22,,#N/A,,
Nu30,Numata,H_numata,F,2022-06-21,2022-06-22,3,2022-06-24,,
MHy39,Melpomene hybrid,H_melpomene,F,2022-06-21,2022-06-22,39,2022-07-30,,
Dd10,Dryadula,D_phaetusa,F,2022-06-23,2022-06-23,,#N/A,,
